,zone,ia,ia_rel,gen,gen_rel,total_offers
279,Cannes,225.0,0.001668248413310398,42.0,0.00031140637048460764,134872.0
42,Versailles-Saint-Quentin,3947.0,0.0029247501143001534,217.0,0.00016079827078873405,1349517.0
290,Nice,193.0,0.002359759377903849,13.0,0.00015894752286398984,81788.0
36,Paris,16214.0,0.0022025513135092846,765.0,0.000103919560554743,7361463.0
40,Saclay,4845.0,0.005389531294321803,85.0,9.45531806021369e-05,898965.0
275,Voiron,314.0,0.0009975030655747078,29.0,9.212607930467047e-05,314786.0
240,Toulouse,4046.0,0.001598049794694443,211.0,8.333873126063457e-05,2531836.0
205,Pau,303.0,0.000540541504846142,44.0,7.849447595125493e-05,560549.0
172,Lannion,272.0,0.001865966014721923,11.0,7.546186088948954e-05,145769.0
249,Grenoble,2275.0,0.0019444527540715985,88.0,7.521399664101128e-05,1169995.0
56,Vendôme,62.0,0.0004578720764498667,10.0,7.385033491126882e-05,135409.0
79,Caen,282.0,0.0002746629291730016,67.0,6.525679522904649e-05,1026713.0
139,Strasbourg,857.0,0.000550916726718947,93.0,5.9784428920492496e-05,1555589.0
202,Mont-de-Marsan,35.0,0.00012742981347916158,16.0,5.82536290190453e-05,274661.0
179,Rennes,2111.0,0.0012937419294343755,94.0,5.7608593731327003e-05,1631701.0
174,Morlaix,14.0,7.439092430723452e-05,9.0,4.782273705465076e-05,188195.0
35,Melun,141.0,0.00033582062891344164,20.0,4.763413176077186e-05,419867.0
276,Aix-en-Provence,805.0,0.0007779123152699839,48.0,4.6384833705539414e-05,1034821.0
41,Seine-Yvelinoise,797.0,0.0008654858992040136,41.0,4.4523114011749755e-05,920870.0
151,La Ferté-Bernard,10.0,7.235052381779244e-05,6.0,4.341031429067546e-05,138216.0
188,Bordeaux,1692.0,0.0006298098845162431,116.0,4.3178455439647874e-05,2686525.0
203,Niort,584.0,0.0011632886808425876,21.0,4.1830586126188936e-05,502025.0
159,Nantes,1522.0,0.0005819297432626912,103.0,3.938157920897319e-05,2615436.0
110,Lille,1252.0,0.0007219912657510295,66.0,3.8060242443744366e-05,1734093.0
166,Brest,805.0,0.0010822670873839924,27.0,3.629964144020844e-05,743809.0
247,Chambéry,113.0,0.00018845111528038356,19.0,3.1686470710860956e-05,599625.0
145,Angers,216.0,0.0002029722275732133,33.0,3.100964587924092e-05,1064185.0
287,Marseille,370.0,0.0004689302054421251,24.0,3.0417094407056768e-05,789030.0
88,Le Havre,29.0,6.68175052647586e-05,13.0,2.9952674773857304e-05,434018.0
90,Rouen,322.0,0.0002938529968442743,32.0,2.9202782295083163e-05,1095786.0
31,Evry,434.0,0.0005489550248990315,22.0,2.7827213243729708e-05,790593.0
248,Clermont-Ferrand,377.0,0.0004800376899618644,21.0,2.6739499971350537e-05,785355.0
231,Montpellier,625.0,0.0005210395781663575,31.0,2.5843563077051334e-05,1199525.0
293,Toulon,333.0,0.00043304342398202286,19.0,2.470818335032563e-05,768976.0
80,Cherbourg en Cotentin,32.0,0.0001196132008118746,6.0,2.2427475152226488e-05,267529.0
207,Poitiers,152.0,0.0002602080294719831,13.0,2.2254634099577503e-05,584148.0
78,Bernay,11.0,0.00012169891687963977,2.0,2.212707579629814e-05,90387.0
62,Belfort,185.0,0.0006663185002431162,6.0,2.161032973761458e-05,277645.0
0,Alençon,6.0,2.904598463467413e-05,4.0,1.9363989756449417e-05,206569.0
182,Vannes,93.0,0.00015667327052925242,11.0,1.853124705184706e-05,593592.0
138,Sélestat,86.0,0.00038990420144445904,4.0,1.8135079136951585e-05,220567.0
28,Cergy-Vexin,508.0,0.0005075310413178223,18.0,1.7983383353781106e-05,1000924.0
92,Vernon-Gisors,22.0,9.337464453970544e-05,4.0,1.697720809812826e-05,235610.0
91,Saint-Lô,7.0,2.9655111058390914e-05,4.0,1.694577774765195e-05,236047.0
63,Besançon,83.0,0.0001260218397366599,11.0,1.6701689603653723e-05,658616.0
245,Bourg en Bresse,9.0,0.0001483117182736516,1.0,1.6479079808183512e-05,60683.0
288,Martigues-Salon,51.0,0.00011646601019420136,7.0,1.5985530810968815e-05,437896.0
32,Fontainebleau-Nemours,41.0,0.00020654807784343656,3.0,1.5113273988544139e-05,198501.0
230,Montauban,86.0,0.00025535654900470334,5.0,1.4846310988645541e-05,336784.0
220,Bagnols-sur-Cèze,43.0,0.0002879335743940003,2.0,1.3392259274139547e-05,149340.0
200,Limoges,35.0,9.157149771725338e-05,5.0,1.3081642531036197e-05,382215.0
75,Vesoul,25.0,0.00010479192515341538,3.0,1.2575031018409845e-05,238568.0
112,Roubaix-Tourcoing,390.0,0.0008160395716419971,6.0,1.2554454948338417e-05,477918.0
3,Beauvais,83.0,0.00020329036477149427,5.0,1.2246407516355077e-05,408283.0
83,Evreux,23.0,6.920685930245504e-05,4.0,1.2035975530861746e-05,332337.0
218,Alès-Le Vigan,35.0,0.00020615034839408878,2.0,1.1780019908233645e-05,169779.0
154,Laval,34.0,7.822115882346174e-05,5.0,1.1503111591685551e-05,434665.0
246,Bourgoin-Jallieu,51.0,9.600090353791564e-05,6.0,1.1294223945637136e-05,531245.0
129,Reims,178.0,0.00028193553496475807,7.0,1.1087352498614081e-05,631350.0
71,Montbéliard,71.0,0.00026110044644498873,3.0,1.1032413230069946e-05,271926.0
155,Le Mans,130.0,0.00023687787669959877,6.0,1.093282507844302e-05,548806.0
181,Saint-Malo,85.0,0.00022134436756706083,4.0,1.0416205532567568e-05,384017.0
161,Sablé-sur-Sarthe,9.0,4.6677108508718246e-05,2.0,1.0372690779715166e-05,192814.0
45,Chartres,80.0,0.0001914878848008885,4.0,9.574394240044426e-06,417781.0
8,Mâcon,31.0,9.628375755128663e-05,3.0,9.31778298883419e-06,321965.0
153,La Roche-sur-Yon,95.0,0.00014087284816724426,6.0,8.897232515825952e-06,674367.0
7,La Vallée de la Bresle-Vimeu,53.0,0.00046048115936992275,1.0,8.688323761696655e-06,115097.0
238,Sète,8.0,6.752593417909565e-05,1.0,8.440741772386957e-06,118473.0
261,Lyon,1346.0,0.0003602727794911107,31.0,8.297515723792297e-06,3736058.0
149,Cholet,110.0,0.0001806112212109818,5.0,8.209600964135537e-06,609043.0
52,Orléans,285.0,0.00025972085020759445,9.0,8.201711059187193e-06,1097332.0
250,Issoire,19.0,0.0001547256469975081,1.0,8.143455105132006e-06,122798.0
177,Quimper,164.0,0.0002657794387192024,5.0,8.103031668268367e-06,617053.0
126,Metz,120.0,0.0001582804412858703,6.0,7.914022064293515e-06,758148.0
215,Villeneuve-sur-Lot,3.0,2.3616282639670632e-05,1.0,7.872094213223543e-06,127031.0
292,Sainte-Maxime,32.0,0.00024395450248528648,1.0,7.6235782026652026e-06,131172.0
235,Perpignan,54.0,0.00012760135446474776,3.0,7.0889641369304315e-06,423193.0
96,Amiens,71.0,0.00016636206007779184,3.0,7.029382820188388e-06,426780.0
273,Vienne-Annonay,45.0,0.00010417028369040591,3.0,6.944685579360395e-06,431985.0
194,Guéret,2.0,1.325609448944152e-05,1.0,6.62804724472076e-06,150874.0
127,Mulhouse,75.0,0.00011997715634943106,4.0,6.398781671969657e-06,625119.0
122,Épernay,99.0,0.0006307540377815297,1.0,6.3712529068841384e-06,156955.0
271,Valence,154.0,0.0002390766054226921,4.0,6.209781959030964e-06,644145.0
104,Compiègne,119.0,0.0003618165012648375,2.0,6.080949601089706e-06,328896.0
241,Annecy,167.0,0.00019923788526283892,5.0,5.965206145593979e-06,838194.0
197,Langon,14.0,8.133718329334255e-05,1.0,5.809798806667325e-06,172123.0
128,Nancy,284.0,0.000328418238313688,5.0,5.782011237917042e-06,864751.0
1,Arles,14.0,8.025498154135425e-05,1.0,5.732498681525303e-06,174444.0
82,Dieppe-Caux maritime,49.0,0.0002667566743608728,1.0,5.444013762466792e-06,183688.0
141,Troyes,56.0,0.00015169368710468218,2.0,5.417631682310078e-06,369165.0
134,Saint-Louis,20.0,0.00010698390961999315,1.0,5.349195480999657e-06,186944.0
118,Châlons-en-Champagne,23.0,0.00012121467646221791,1.0,5.270203324444257e-06,189746.0
195,La Rochelle,218.0,0.0003813795793978051,3.0,5.248342835749612e-06,571609.0
39,Roissy,349.0,0.0003627564501007195,5.0,5.1970838123312245e-06,962078.0
44,Bourges,65.0,0.00016850815838729915,2.0,5.1848664119168966e-06,385738.0
268,Saint Etienne,112.0,0.00011376957192166965,5.0,5.078998746503109e-06,984446.0
68,Dijon,236.0,0.0002347842869621102,5.0,4.974243367841318e-06,1005178.0
105,Creil,100.0,0.00023744621843152527,2.0,4.748924368630505e-06,421148.0
267,Romans sur Isère,60.0,0.0002646938154290025,1.0,4.411563590483375e-06,226677.0
185,Angoulême,50.0,0.00010910479515574709,2.0,4.364191806229884e-06,458275.0
173,Lorient,136.0,0.000293738404352512,2.0,4.319682416948706e-06,462997.0
116,Valenciennes,77.0,0.00015941830950340162,2.0,4.1407353117766656e-06,483006.0
61,Beaune,8.0,3.2973645813583496e-05,1.0,4.121705726697937e-06,242618.0
2,Avignon,87.0,0.00017752348615316808,2.0,4.0809996816820246e-06,490076.0
256,Le Genevois Français,8.0,1.460514977581095e-05,2.0,3.6512874439527375e-06,547752.0
72,Pontarlier,33.0,0.00011677199736732225,1.0,3.538545374767341e-06,282602.0
254,La Vallée de l'Arve,50.0,0.00017572098319404517,1.0,3.5144196638809033e-06,284542.0
199,Libourne,15.0,5.2326615758683605e-05,1.0,3.4884410505789068e-06,286661.0
192,Cognac,15.0,4.996935213069318e-05,1.0,3.331290142046212e-06,300184.0
217,Albi,62.0,0.00019356611219341626,1.0,3.122034067635746e-06,320304.0
162,Saint-Nazaire,53.0,8.101262727007317e-05,2.0,3.057080274342384e-06,654219.0
184,Agen,19.0,5.743790659991777e-05,1.0,3.023047715785146e-06,330792.0
156,Les Herbiers-Montaigu,52.0,7.67127976124617e-05,2.0,2.9504922158639115e-06,677853.0
47,Châteauroux,11.0,3.156284880534617e-05,1.0,2.8693498913951066e-06,348511.0
64,Chalon-sur-Saône,68.0,0.00019485022321812337,1.0,2.8654444590900495e-06,348986.0
180,Saint-Brieuc,26.0,7.05354454177733e-05,1.0,2.712901746837435e-06,368609.0
186,Bayonne,104.0,0.00013549994267310117,2.0,2.6057681283288687e-06,767528.0
43,Blois,33.0,7.809338549024897e-05,1.0,2.3664662269772416e-06,422571.0
109,Lens,68.0,0.00015204024594745667,1.0,2.2358859698155393e-06,447250.0
125,Haguenau,114.0,0.00021996087011889463,1.0,1.9294813168324092e-06,518274.0
55,Tours,343.0,0.00036602908597308247,1.0,1.0671401923413484e-06,937084.0
29,Coulommiers,0.0,0.0,0.0,0.0,59621.0
12,Ussel,4.0,3.773869726017058e-05,0.0,0.0,105992.0
13,Valréas,2.0,2.373352003702429e-05,0.0,0.0,84269.0
10,Nogent-le-Rotrou,3.0,3.294314014011816e-05,0.0,0.0,91066.0
9,Nevers,0.0,0.0,0.0,0.0,189372.0
253,La Tarentaise,27.0,9.553565426000559e-05,0.0,0.0,282617.0
255,Le Chablais,2.0,9.49780363290989e-06,0.0,0.0,210575.0
291,Orange,3.0,2.810515073729179e-05,0.0,0.0,106742.0
289,Menton,0.0,0.0,0.0,0.0,5946.0
278,Brignoles,2.0,1.1833619312466717e-05,0.0,0.0,169010.0
280,Carpentras,1.0,9.485596122288305e-06,0.0,0.0,105423.0
281,Cavaillon,7.0,3.0439017602449037e-05,0.0,0.0,229968.0
277,Briançon,0.0,0.0,0.0,0.0,3890.0
283,Draguignan,1.0,6.54278984559016e-06,0.0,0.0,152840.0
269,Saint Flour,0.0,0.0,0.0,0.0,36569.0
270,Tarare,36.0,0.0002823241551841773,0.0,0.0,127513.0
272,Vichy,3.0,0.0,0.0,0.0,26610.0
274,Villefranche-sur-Saône,13.0,4.612660689131507e-05,0.0,0.0,281833.0
