,ia générative,ia générale,cv,nlp
0,0.0,103.0,35.0,13.0
1,0.0,121.0,34.0,13.0
2,0.0,448.0,125.0,43.0
3,0.0,220.0,59.0,28.0
4,0.0,291.0,97.0,26.0
5,0.0,381.0,83.0,32.0
6,0.0,323.0,100.0,20.0
7,0.0,266.0,52.0,13.0
8,0.0,369.0,105.0,14.0
9,0.0,615.0,142.0,51.0
10,0.0,681.0,147.0,52.0
11,0.0,739.0,133.0,80.0
12,0.0,866.0,160.0,97.0
13,0.0,665.0,185.0,62.0
14,0.0,606.0,99.0,82.0
15,0.0,523.0,84.0,67.0
16,0.0,351.0,64.0,25.0
17,0.0,391.0,108.0,21.0
18,1.0,475.0,117.0,28.0
19,0.0,497.0,142.0,43.0
20,0.0,722.0,177.0,65.0
21,0.0,926.0,218.0,57.0
22,2.0,808.0,201.0,41.0
23,10.0,709.0,169.0,48.0
24,6.0,625.0,166.0,76.0
25,0.0,615.0,150.0,39.0
26,1.0,1017.0,218.0,114.0
27,0.0,1105.0,288.0,121.0
28,0.0,1345.0,242.0,101.0
29,0.0,1615.0,311.0,117.0
30,0.0,1806.0,338.0,128.0
31,2.0,1577.0,325.0,118.0
32,0.0,1862.0,305.0,132.0
33,0.0,2520.0,470.0,181.0
34,1.0,1584.0,329.0,99.0
35,4.0,2021.0,436.0,163.0
36,1.0,2013.0,434.0,169.0
37,8.0,1726.0,519.0,131.0
38,6.0,1807.0,329.0,186.0
39,3.0,2114.0,343.0,140.0
40,7.0,1663.0,252.0,81.0
41,1.0,1311.0,264.0,116.0
42,0.0,1062.0,252.0,83.0
43,6.0,982.0,209.0,97.0
44,4.0,1070.0,252.0,103.0
45,11.0,1791.0,359.0,152.0
46,6.0,1442.0,262.0,106.0
47,15.0,1701.0,288.0,101.0
48,28.0,1328.0,254.0,99.0
49,21.0,1319.0,258.0,95.0
50,28.0,1219.0,206.0,78.0
51,25.0,896.0,178.0,57.0
52,20.0,973.0,175.0,62.0
53,45.0,1212.0,191.0,96.0
54,35.0,980.0,198.0,80.0
55,42.0,797.0,166.0,57.0
56,42.0,812.0,206.0,43.0
57,79.0,907.0,286.0,76.0
58,74.0,942.0,217.0,62.0
59,113.0,957.0,206.0,53.0
60,64.0,484.0,98.0,28.0
61,75.0,605.0,130.0,37.0
62,96.0,741.0,128.0,49.0
63,72.0,582.0,148.0,16.0
64,102.0,610.0,96.0,30.0
65,167.0,1072.0,180.0,39.0
66,376.0,1576.0,393.0,67.0
67,213.0,1131.0,175.0,31.0
68,144.0,707.0,194.0,36.0
69,243.0,1226.0,250.0,71.0
70,200.0,968.0,154.0,33.0
71,51.0,256.0,33.0,9.0
72,165.0,962.0,104.0,36.0
