date,Industrie,Services
2019-01-01,46,186
2019-04-01,83,291
2019-07-01,103,384
2019-10-01,123,505
2020-01-01,144,639
2020-04-01,159,710
2020-07-01,181,804
2020-10-01,205,898
2021-01-01,229,1008
2021-04-01,256,1139
2021-07-01,294,1279
2021-10-01,338,1415
2022-01-01,370,1539
2022-04-01,404,1690
2022-07-01,428,1815
2022-10-01,460,1970
2023-01-01,485,2096
2023-04-01,514,2209
2023-07-01,536,2309
2023-10-01,557,2435
2024-01-01,579,2517
2024-04-01,598,2615
2024-07-01,617,2716
2024-10-01,625,2772
2025-01-01,639,2813
